person_id,person_name,pocet_clenstvi,role,afiliace,skupiny
2014,"MUDr. Michal Považan",1,"Členové","","Pracovní skupina pro dětskou a dorostovou psychiatrii (Členové)"
2019,"prof. MUDr. Ján Praško Pavlov, CSc.",1,"Členové","","Pracovní skupina k zajištění dostupnosti psychoterapie, psychoterapeutických a psychosociálních intervencí (Členové)"
2020,"doc. MUDr. Jana Prausová, Ph.D., MBA",1,"Členové","KOC MN Ústí nad Labem","Národní rada komplexních onkologických center (Členové)"
2024,"prof. MUDr. Martin Prázný, Ph.D., CSc.",1,"Členové","","Pracovní skupina pro obezitu a diabetes v rámci Národního programu prevence a léčby obezity České republiky (Členové)"
2051,"JUDr. Ing. Lukáš Prudil, Ph.D.",1,"Členové","advokát, Brno","Etická komise Ministerstva zdravotnictví (Členové)"
2056,"prof. MUDr. Roman Prymula, CSc., Ph.D.",1,"Členové","","Řídící rada pro implementaci CZ-DRG do resortu zdravotnictví (Členové)"
2074,"RNDr. Helena Puffrová",1,"Členové","","Lékopisná komise Ministerstva zdravotnictví (Členové)"
2078,"Mgr. Mario Pytel",1,"Členové","","Pracovní skupina pro nastavení systémových změn v odbornosti zdravotnický záchranář (Členové)"
2081,"prof. MUDr. Jaroslav Racek, DrSc.",1,"Členové","Česká společnost klinické biochemie ČLS JEP","Komise pro přípravu programu časného záchytu karcinomu prostaty (Členové)"
2094,"MUDr. Jan Raupach, Ph.D.",1,"Členové","Česká společnost intervenční radiologie, ČLS JEP","Komise pro přípravu programu screeningu aneurysmatu abdominální aorty (Členové)"
2102,"MUDr. Pavel Rejtar, Ph.D.",1,"Členové","","Pracovní skupina pro lékařské ozáření (Členové)"
2105,"MUDr. Juraj Rektor",1,"Členové","","Pracovní skupina k zajištění dostupnosti psychoterapie, psychoterapeutických a psychosociálních intervencí (Členové)"
2107,"prof. MUDr. Irena Rektorová, Ph.D.",1,"Členové","členka od 1.9.2025","Komise pro institucionální podporu (Členové)"
2110,"prof. MUDr. Vladimír Resl, CSc.",1,"Členové","","Mezirezortní koordinační pracovní skupina Národního programu HIV/AIDS (Členové)"
2121,"prof. MUDr. Miloslav Roček, CSc.",1,"Členové","Česká radiologická společnost ČLS JEP","Komise pro přípravu programu screeningu aneurysmatu abdominální aorty (Členové)"
2154,"MUDr. Irena Rubešová",1,"Členové","bez hlasovacího práva","Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami (Členové)"
2171,"prof. MUDr. Michal Rygl, Ph.D.",1,"Členové","ERN ERNICA, FN Motol","Mezioborová komise pro vzácná onemocnění (Členové)"
2175,"prof. MUDr. Romana Ryšavá, CSc.",1,"Členové","","Pracovní skupina k problematice vzdělávání lékařských zdravotnických pracovníků (Členové)"
2180,"Ing. Marie Ředinová",1,"Členové","Pacientská rada ministra zdravotnictví","Komise pro kategorizaci a úhradovou regulaci zdravotnických prostředků (Členové)"
2181,"MUDr. Vít Řeháček",1,"Předseda","","Národní transfuzní komise MZ (Předseda)"
2187,"MUDr. Zuzana Řeřichová",1,"Členové","","Pracovní skupina k problematice péče o pacienty s nařízeným ochranným léčením (Členové)"
2207,"Mgr. Renata Sasová",1,"Členové","","Pracovní skupina pro nastavení systémových změn v odbornosti zdravotnický záchranář (Členové)"
2212,"MUDr. Martin Sedláček",1,"Členové","","Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami (Členové)"
2213,"doc. MUDr. Dalibor Sedláček, CSc.",1,"Členové","","Mezirezortní koordinační pracovní skupina Národního programu HIV/AIDS (Členové)"
