group_id,group_name,section_unit,role,person_id,person_name,affiliation
18,"Pacientská rada ministra zdravotnictví","SZ/OPP","Členové",3686,"Mgr. Štěpánka Pokorná","Aliance žen s rakovinou prsu, o. p. s. (https://www.breastcancer.cz/)"
18,"Pacientská rada ministra zdravotnictví","SZ/OPP","Členové",4250,"JUDr. Nataša Randlová","CEREBRUM – Asociace osob po získaném poškození mozku, z. s."
18,"Pacientská rada ministra zdravotnictví","SZ/OPP","Členové",4254,"Martina Sehnoutková","ENDO Talks CZ, z. s."
18,"Pacientská rada ministra zdravotnictví","SZ/OPP","Členové",4249,"Bc. Martina Smolíková","Asociace rodičů a přátel zdravotně postižených dětí v ČR, z. s."
18,"Pacientská rada ministra zdravotnictví","SZ/OPP","Členové",4252,"MUDr. Jan Šťastný","České ILCO, z. s."
18,"Pacientská rada ministra zdravotnictví","SZ/OPP","Členové",4258,"Ing. Miluše Šulcová","Sdružení pacientů s plicní hypertenzí, z. s."
18,"Pacientská rada ministra zdravotnictví","SZ/OPP","Členové",3930,"Mgr. Luboš Zajíc","Sjednocená organizace nevidomých a slabozrakých ČR, z. s. (https://www.sons.cz/)"
20,"Rozkladová komise ministra zdravotnictví","SCA/PRO","Předseda",1175,"Mgr. Denisa Kopková",""
20,"Rozkladová komise ministra zdravotnictví","SCA/PRO","Tajemník",4200,"Mgr. Kristýna Peňásová",""
20,"Rozkladová komise ministra zdravotnictví","SCA/PRO","Tajemník",2436,"MUDr. Mgr. Michal Synek",""
20,"Rozkladová komise ministra zdravotnictví","SCA/PRO","Tajemník",4165,"Mgr. Jana Zvoníčková",""
20,"Rozkladová komise ministra zdravotnictví","SCA/PRO","Tajemník",4199,"Mgr. Marie Židův",""
20,"Rozkladová komise ministra zdravotnictví","SCA/PRO","Členové",163,"Mgr. Kateřina Blechová",""
20,"Rozkladová komise ministra zdravotnictví","SCA/PRO","Členové",3389,"JUDr. Jan Brož, Ph.D.",""
20,"Rozkladová komise ministra zdravotnictví","SCA/PRO","Členové",329,"JUDr. Milan Čichoň",""
20,"Rozkladová komise ministra zdravotnictví","SCA/PRO","Členové",4002,"JUDr. Adam Furek",""
20,"Rozkladová komise ministra zdravotnictví","SCA/PRO","Členové",3048,"JUDr. Viktor Hodek",""
20,"Rozkladová komise ministra zdravotnictví","SCA/PRO","Členové",4003,"JUDr. Jan Kněžínek, Ph.D.",""
20,"Rozkladová komise ministra zdravotnictví","SCA/PRO","Členové",4007,"Mgr. et Mgr. Marie Kotrlá",""
20,"Rozkladová komise ministra zdravotnictví","SCA/PRO","Členové",1236,"JUDr. Jakub Král, Ph.D.",""
20,"Rozkladová komise ministra zdravotnictví","SCA/PRO","Členové",4005,"JUDr. Aleš Mácha, Ph.D.",""
20,"Rozkladová komise ministra zdravotnictví","SCA/PRO","Členové",1881,"JUDr. Marek Pavlovský, Ph.D.",""
20,"Rozkladová komise ministra zdravotnictví","SCA/PRO","Členové",2011,"Mgr. Martina Postupová",""
20,"Rozkladová komise ministra zdravotnictví","SCA/PRO","Členové",2012,"JUDr. Lukáš Potěšil, Ph.D.",""
20,"Rozkladová komise ministra zdravotnictví","SCA/PRO","Členové",2324,"Mgr. Marek Souček",""
20,"Rozkladová komise ministra zdravotnictví","SCA/PRO","Členové",2414,"JUDr. Jaroslav Svejkovský",""
20,"Rozkladová komise ministra zdravotnictví","SCA/PRO","Členové",3677,"JUDr. Pavel Šulda",""
20,"Rozkladová komise ministra zdravotnictví","SCA/PRO","Členové",2786,"Mgr. Ivo Večeřa",""
20,"Rozkladová komise ministra zdravotnictví","SCA/PRO","Členové",3388,"JUDr. Josef Vedral, Ph.D.",""
20,"Rozkladová komise ministra zdravotnictví","SCA/PRO","Členové",3391,"Mgr. Michael Židův",""
22,"Resortní koordinační skupina Ministerstva zdravotnictví ČR pro Evropskou unii","SL/MEZ","Předseda",79,"Mgr. Kateřina Baťhová",""
22,"Resortní koordinační skupina Ministerstva zdravotnictví ČR pro Evropskou unii","SL/MEZ","Členové",3448,"Mgr. Jan Cibulka",""
22,"Resortní koordinační skupina Ministerstva zdravotnictví ČR pro Evropskou unii","SL/MEZ","Členové",584,"Mgr. Eva Gottvaldová",""
22,"Resortní koordinační skupina Ministerstva zdravotnictví ČR pro Evropskou unii","SL/MEZ","Členové",3447,"Mgr. Petra Hájková",""
